AngularVelocity,KE,PE,TE
-0.0341, 23.2291, 68.4250, 91.6541
-0.0211, 8.9378, 79.6992, 88.6370
-0.0073, 1.0577, 83.7722, 84.8300
0.0069, 0.9427, 79.9245, 80.8672
0.0206, 8.4970, 68.9056, 77.4027
0.0333, 22.2082, 52.7930, 75.0012
0.0444, 39.4197, 34.6189, 74.0386
0.0533, 56.8109, 17.8153, 74.6262
0.0596, 71.0168, 5.5603, 76.5772
0.0630, 79.2813, 0.1502, 79.4316
0.0632, 80.0105, 2.5353, 82.5457
0.0605, 73.0948, 12.1323, 85.2271
0.0547, 59.9203, 26.9618, 86.8821
0.0464, 43.0651, 44.0709, 87.1360
0.0359, 25.7623, 60.1350, 85.8973
0.0237, 11.2590, 72.0997, 83.3587
0.0105, 2.2075, 77.7374, 79.9448
-0.0031, 0.1974, 76.0298, 76.2272
-0.0166, 5.4935, 67.3293, 72.8228
-0.0292, 17.0056, 53.2847, 70.2903
-0.0403, 32.4896, 36.5432, 69.0329
-0.0495, 48.9538, 20.2667, 69.2205
-0.0562, 63.2135, 7.5345, 70.7480
-0.0602, 72.5041, 0.7411, 73.2452
-0.0612, 75.0294, 1.1160, 76.1455
-0.0593, 70.3249, 8.4783, 78.8032
-0.0545, 59.3430, 21.2875, 80.6305
-0.0470, 44.2421, 36.9761, 81.2182
-0.0374, 27.9337, 52.4766, 80.4103
-0.0260, 13.4983, 64.8226, 78.3209
-0.0134, 3.5988, 71.6987, 75.2975
-0.0003, 0.0016, 71.8462, 71.8478
0.0128, 3.2769, 65.2707, 68.5475
0.0252, 12.7143, 53.2272, 65.9416
0.0364, 26.4591, 37.9909, 64.4499
0.0457, 41.8491, 22.4406, 64.2897
0.0529, 55.9074, 9.5191, 65.4264
0.0574, 65.9093, 1.6624, 67.5718
0.0591, 69.9195, 0.3153, 70.2348
0.0580, 67.1795, 5.6419, 72.8215
0.0540, 58.2558, 16.5041, 74.7599
0.0474, 44.9100, 30.7088, 75.6188
0.0386, 29.7268, 45.4629, 75.1897
0.0279, 15.5909, 57.9257, 73.5165
0.0160, 5.1298, 65.7442, 70.8740
0.0034, 0.2330, 67.4736, 67.7066
-0.0093, 1.7246, 62.8208, 64.5454
-0.0215, 9.2315, 52.6837, 61.9153
-0.0326, 21.2617, 38.9828, 60.2445
-0.0421, 35.4776, 24.3091, 59.7866
-0.0496, 49.1274, 11.4403, 60.5677
-0.0546, 59.5665, 2.8069, 62.3733
-0.0569, 64.7737, 0.0112, 64.7850
-0.0565, 63.7543, 3.5088, 67.2631
-0.0533, 56.7358, 12.5239, 69.2598
-0.0475, 45.1107, 25.2220, 70.3327
-0.0395, 31.1396, 39.0921, 70.2317
-0.0296, 17.4905, 51.4488, 68.9394
-0.0183, 6.7176, 59.9451, 66.6627
-0.0063, 0.7862, 62.9984, 63.7846
0.0060, 0.7256, 60.0637, 60.7893
0.0180, 6.4588, 51.7181, 58.1769
0.0290, 16.8279, 39.5485, 56.3764
0.0386, 29.8092, 25.8593, 55.6685
0.0463, 42.8869, 13.2432, 56.1301
0.0517, 53.5273, 4.0856, 57.6130
0.0546, 59.6698, 0.0972, 59.7669
0.0548, 60.1347, 1.9732, 62.1079
